Campaign,Campaign type,Campaign start date,Campaign end date,Audience segment,Audience segment type,Clicks,Impr.,CTR,TrueView view rate
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,13,939,1.38%,3.09%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Education Websites,Custom intent segment: auto-created,11,"1,351",0.81%,0.67%
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,10-Oct-24,10-Nov-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,11,462,2.38%,9.96%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Business Incorporation Information and Resources,Custom intent segment: auto-created,10,255,3.92%,1.18%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Deep Learning,Custom intent segment: auto-created,10,325,3.08%,1.54%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Education › Highest Level of Educational Attainment › High School Graduate,Detailed demographics,9,"2,024",0.44%,4.15%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,26-Aug-24,26-Sep-24,Employment › Industry › Healthcare Industry,Detailed demographics,9,849,1.06%,0.47%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,4-Oct-24,4-Nov-24,Value of College Education,Custom intent segment: auto-created,9,548,1.64%,2.55%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Government Contract Opportunities,Custom intent segment: auto-created,9,"1,911",0.47%,0
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,University Education,Custom intent segment: auto-created,8,349,2.29%,3.15%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,Employment › Industry › Healthcare Industry,Detailed demographics,8,274,2.92%,3.65%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Employment › Industry › Construction Industry,Detailed demographics,7,546,1.28%,3.30%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,7,343,2.04%,1.17%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,2-Aug-24,2-Sep-24,AI Chatbot,Custom intent segment: auto-created,7,306,2.29%,1.63%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,Carnegie Mellon University Information,Custom intent segment: auto-created,7,940,0.74%,20.85%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,4-Oct-24,4-Nov-24,Universities,Custom intent segment: auto-created,7,564,1.24%,8.51%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Intelligent Robots,Custom intent segment: auto-created,7,270,2.59%,2.59%
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,10-Oct-24,10-Nov-24,Research Universities,Custom intent segment: auto-created,7,426,1.64%,7.98%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,6,322,1.86%,0.93%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Universities,Custom intent segment: auto-created,6,742,0.81%,1.35%
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Video,15-Aug-24,31-Aug-24,AI Chatbot,Custom intent segment: auto-created,6,287,2.09%,7.32%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,AI Chatbot,Custom intent segment: auto-created,6,"1,177",0.51%,2.89%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,4-Oct-24,4-Nov-24,University,Custom intent segment: auto-created,6,679,0.88%,7.07%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Entrepreneur News,Custom affinity segment: auto-created,6,"1,431",0.42%,0
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Engineering Information,Custom intent segment: auto-created,5,441,1.13%,1.13%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,5,320,1.56%,2.81%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Universities,Custom intent segment: auto-created,5,487,1.03%,3.08%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,2-Aug-24,2-Sep-24,Education › Highest Level of Educational Attainment › Advanced Degree,Detailed demographics,5,345,1.45%,1.16%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,2-Aug-24,2-Sep-24,Electric Cars,Custom intent segment: auto-created,5,361,1.39%,0.83%
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Video,15-Aug-24,31-Aug-24,Government Contract Opportunities,Custom intent segment: auto-created,5,246,2.03%,1.22%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,People not in audiences,People not in audience segments,5,"4,766",0.10%,0
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Education News,Custom intent segment: auto-created,4,599,0.67%,0.83%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,University Education,Custom intent segment: auto-created,4,374,1.07%,1.60%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Value of College Education,Custom intent segment: auto-created,4,290,1.38%,1.38%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,University Education,Custom intent segment: auto-created,4,241,1.66%,4.98%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,4,244,1.64%,3.28%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,4-Oct-24,4-Nov-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,4,244,1.64%,6.15%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,4-Oct-24,4-Nov-24,Carnegie Mellon University Information,Custom intent segment: auto-created,4,350,1.14%,22.29%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Business Guides,Custom intent segment: auto-created,4,239,1.67%,0.42%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Lifestyles & Hobbies › Business Professionals,Affinity segment,4,"1,308",0.31%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Technology,Affinity segment,4,"2,255",0.18%,0
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,3,960,0.31%,0.52%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Education,Custom intent segment: auto-created,3,170,1.76%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Intelligent Robots,Custom intent segment: auto-created,3,202,1.49%,0.99%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Drones,Custom intent segment: auto-created,3,94,3.19%,6.38%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Academic Journals,Custom intent segment: auto-created,3,102,2.94%,3.92%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,3,312,0.96%,0.64%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,3,139,2.16%,2.16%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,Deep Learning,Custom intent segment: auto-created,3,9,33.33%,11.11%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,2-Aug-24,2-Sep-24,Carnegie Mellon University Information,Custom intent segment: auto-created,3,351,0.85%,18.80%
UCM - DOT Conference (Display) - 8.15-8.30,Display,15-Aug-24,31-Aug-24,Technology › Technophiles › Cloud Services Power Users,Affinity segment,3,"6,112",0.05%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Robotics,Custom affinity segment: auto-created,3,953,0.31%,0
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Higher Education,Custom intent segment: auto-created,2,113,1.77%,1.77%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Intelligent Robots,Custom intent segment: auto-created,2,60,3.33%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,STEM Programs,Custom intent segment: auto-created,2,30,6.67%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,Higher Education,Custom intent segment: auto-created,2,22,9.09%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,Space Program Launch Information,Custom intent segment: auto-created,2,35,5.71%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,Universities,Custom intent segment: auto-created,2,173,1.16%,0.58%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Universities,Custom intent segment: auto-created,2,66,3.03%,12.12%
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Video,15-Aug-24,31-Aug-24,Machine Learning,Custom intent segment: auto-created,2,25,8.00%,16.00%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Machine Learning,Custom intent segment: auto-created,2,226,0.88%,4.87%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Business Services,In-market segment,2,533,0.38%,0
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,10-Oct-24,10-Nov-24,Carnegie Mellon University Information,Custom intent segment: auto-created,2,663,0.30%,23.68%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Engineering Companies,Custom intent segment: auto-created,1,9,11.11%,11.11%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Mechanical Engineering,Custom intent segment: auto-created,1,105,0.95%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,infrastructure development and systems,Custom intent segment: auto-created,1,99,1.01%,1.01%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Computer Science Education,Custom intent segment: auto-created,1,44,2.27%,2.27%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Computer Science Training,Custom intent segment: auto-created,1,37,2.70%,2.70%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Deep Learning,Custom intent segment: auto-created,1,22,4.55%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Drone Technology,Custom intent segment: auto-created,1,50,2.00%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Machine Learning,Custom intent segment: auto-created,1,39,2.56%,2.56%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Structured Classroom Information,Custom intent segment: auto-created,1,190,0.53%,4.21%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Lab Chemical Suppliers,Custom intent segment: auto-created,1,6,16.67%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Science and Scientific Research,Custom intent segment: auto-created,1,40,2.50%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Business Advice,Custom intent segment: auto-created,1,60,1.67%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Business Strategies,Custom intent segment: auto-created,1,20,5.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,College Campuses,Custom intent segment: auto-created,1,37,2.70%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,College Education,Custom intent segment: auto-created,1,116,0.86%,4.31%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Deep Learning,Custom intent segment: auto-created,1,12,8.33%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Intelligent Robots,Custom intent segment: auto-created,1,56,1.79%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,Astronomy and Space Science,Custom intent segment: auto-created,1,80,1.25%,1.25%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,College Education,Custom intent segment: auto-created,1,51,1.96%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,Higher Education Courses,Custom intent segment: auto-created,1,16,6.25%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,NASA News and Information,Custom intent segment: auto-created,1,59,1.69%,1.69%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,Intelligent Robots,Custom intent segment: auto-created,1,22,4.55%,0.00%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,2-Aug-24,2-Sep-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,1,88,1.14%,5.68%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,2-Aug-24,2-Sep-24,Hybrid Cars,Custom intent segment: auto-created,1,24,4.17%,0.00%
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Video,15-Aug-24,31-Aug-24,Government Contract Opportunities,Custom intent segment: auto-created,1,29,3.45%,6.90%
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Video,15-Aug-24,31-Aug-24,Machine Learning,Custom intent segment: auto-created,1,87,1.15%,0.00%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,26-Aug-24,26-Sep-24,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,1,140,0.71%,1.43%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,26-Aug-24,26-Sep-24,Universities,Custom intent segment: auto-created,1,53,1.89%,3.77%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,AI Chatbot,Custom intent segment: auto-created,1,395,0.25%,7.85%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,Central Michigan University,Custom intent segment: auto-created,1,1,100.00%,0.00%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,Machine Learning,Custom intent segment: auto-created,1,14,7.14%,0.00%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,Intelligent Robots,Custom intent segment: auto-created,1,56,1.79%,3.57%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,4-Oct-24,4-Nov-24,Machine Learning,Custom intent segment: auto-created,1,12,8.33%,16.67%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Information Technology,Custom intent segment: auto-created,1,42,2.38%,0.00%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Technology Events,Custom intent segment: auto-created,1,10,10.00%,0.00%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Technology News,Custom intent segment: auto-created,1,48,2.08%,6.25%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Technology › Technophiles › Cloud Services Power Users,Affinity segment,1,123,0.81%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Business Services › Business Technology,In-market segment,1,230,0.43%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Business Services › Business Technology › Network Systems & Services › Hosted Data & Cloud Storage,In-market segment,1,298,0.34%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Online Business,Custom affinity segment: auto-created,1,175,0.57%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,12-Oct-24,16-Oct-24,Starting a Business in the USA,Custom affinity segment: auto-created,1,141,0.71%,0
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,10-Oct-24,10-Nov-24,Deep Learning,Custom intent segment: auto-created,1,40,2.50%,12.50%
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,10-Oct-24,10-Nov-24,Higher Education,Custom intent segment: auto-created,1,37,2.70%,21.62%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Youtube Subscribers,YouTube users,0,0,0,0
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Bridge Construction Services,Custom intent segment: auto-created,0,32,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Bridge Design and Information,Custom intent segment: auto-created,0,52,0.00%,3.85%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Deep Learning,Custom intent segment: auto-created,0,61,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Design Engineering Services and Companies,Custom intent segment: auto-created,0,5,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Engineering Firms,Custom intent segment: auto-created,0,12,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Machine Learning,Custom intent segment: auto-created,0,91,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Machine Learning Courses,Custom intent segment: auto-created,0,25,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,8-Apr-24,8-May-24,Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,69,0.00%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Carnegie Mellon University Information,Custom intent segment: auto-created,0,31,0.00%,3.23%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Computer Programming,Custom intent segment: auto-created,0,20,0.00%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Higher Education Courses,Custom intent segment: auto-created,0,1,0.00%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,9-May-24,9-Jun-24,Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,21,0.00%,4.76%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Employment › Industry › Education Sector,Detailed demographics,0,37,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Bill Nye the Science Guy Videos,Custom intent segment: auto-created,0,5,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Chemical Analysis,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Laboratory Equipment and Supplies,Custom intent segment: auto-created,0,10,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Laboratory Information Management Systems,Custom intent segment: auto-created,0,1,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Machine Learning,Custom intent segment: auto-created,0,51,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Research Journals,Custom intent segment: auto-created,0,5,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,9-May-24,9-Jun-24,Science Experiments,Custom intent segment: auto-created,0,27,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Business Growth Information,Custom intent segment: auto-created,0,27,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Business Growth Strategies,Custom intent segment: auto-created,0,25,0.00%,4.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Digital Strategy Services,Custom intent segment: auto-created,0,2,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Higher Education,Custom intent segment: auto-created,0,85,0.00%,2.35%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Higher Education Courses,Custom intent segment: auto-created,0,14,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Machine Learning,Custom intent segment: auto-created,0,18,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Strategic Planning Tools,Custom intent segment: auto-created,0,5,0.00%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,Galaxy Books and Information,Custom intent segment: auto-created,0,83,0.00%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,International Space Station,Custom intent segment: auto-created,0,29,0.00%,3.45%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,Rockets,Custom intent segment: auto-created,0,20,0.00%,0.00%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Deep Learning,Custom intent segment: auto-created,0,4,0.00%,0.00%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Disaster and Emergency Planning,Custom intent segment: auto-created,0,37,0.00%,2.70%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Higher Education,Custom intent segment: auto-created,0,56,0.00%,3.57%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Higher Education Courses,Custom intent segment: auto-created,0,9,0.00%,0.00%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Machine Learning,Custom intent segment: auto-created,0,10,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Education,In-market segment,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Education › Post-Secondary Education,In-market segment,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Agricultural College Programs,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Agricultural Services for Food Crops,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Agriculture Technology,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Artificial Intelligence Programs and Information,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Carnegie Mellon University Information,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Farm Management Software,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Farming,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Information About Agriculture,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Intelligent Robots,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,31-Dec-37,Robotics,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,Agricultural Services for Food Crops,Custom intent segment: auto-created,0,3,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,Agriculture Market News,Custom intent segment: auto-created,0,8,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,Agriculture Technology,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,Farm Management Software,Custom intent segment: auto-created,0,0,0,0
